Id,Text,User Name,Date of Tweet,Like Count,Comment Count,retweet Count,View count,countOfWords,countOfPositive,countOfNegative,Art,Health,Politics,Science,Sport
143,Doesn't Rick Scott look like the Fire Marshall character Jim Carrey did on In Living Color!,JacyFraklyn,2h,1,1,0,33,16,1,0,1,0,0,0,0
144,Le film le plus sous-coté de Jim Carrey,Riiiveeers,2h,0,0,1,959,8,0,0,1,0,0,0,0
145,Jim Carrey is the best actor,LifeLacker420,3h,6,1,0,115,6,1,0,1,0,0,0,0
146,When Your Adrenochrome dries up #SaveTheChildren Johnny Depp 2016/2018 Jim Carrey 2016/2018 #WhereAreTheChildren,l42022425,3h,25,1,15,792,13,0,0,1,0,0,0,0
147,Which celebrities do you get compared to? Soy el hijo perdido de Jim Carrey.,Jona_Roque,4h,8,1,1,271,14,0,0,1,0,0,0,0
148,Jim Carrey went crazy in the mask,quvism,4h,2,1,0,55,7,0,1,1,0,0,0,0
149,Warner Bros está planejando 'Ace Ventura 3' com o retorno de Jim Carrey - https://cinepop.com.br/warner-bros-esta-planejando-ace-ventura-3-com-o-retorno-de-jim-carrey-407770/,cinepop,4h,30,2,1,1380,15,0,0,1,0,0,0,0
150,"I think if you were not familiar with real Andy Kaufman, maybe Jim Carrey’s performance of his bits in Man on the Moon can standalone as funny but doesn’t really work as funny when you can compare to the original. Separately, do you like the Silver Diner?",EvanSusser,4h,1,1,0,217,47,2,1,1,0,0,0,0
151,Alàric acaba de enterarse de tu opinión sobre Jim Carrey... Atentos al próximo programa.,Minaya_Rubio,4h,5,2,1,695,14,0,0,1,0,0,0,0
152,OMG LOVE IT! JIM CARREY ROCKS,CINDYOLYNEY,4H,1,122,0,3,6,1,0,1,0,0,0,0
153,Yyyeeesss! I loved when Jim Carrey movies got cartoons. The Dumb And Dumber one was brilliant too. Loved Godzilla and Men In Black. Timon and Pumba from The Lion King too. ,Paul_Berney,4h,1,1,0,8,31,2,1,1,0,0,0,0
154,(Jim Carrey | Nicholas Cage) as Tom Cruise in Top Gun.,GanWeaving,4h,12,1,5,1249,11,1,0,1,0,0,0,0
155,Jim Carrey ,SteelyStreams,4h,102,491,538,248461,2,0,0,1,0,0,0,0
156,"Como diría el Chary de Loquero, para qué toda esta dialectica en Historia? Si al final podes analizar la historia, la religión y la economía con una comedia de Jim Carrey",frxntovik,4h,2,0,1,88,31,0,0,1,0,0,0,0
157,Jim Carrey exposing the illuminati. I heard the audience was so quiet you could hear a pin drop but they added the laughter afterwards.,bookis714,5h,14,122,4,246,24,1,0,1,0,0,0,0
158,Fuente: una película de Jim Carrey. El final....,Migsasua,5h,12,2,2,771,8,0,0,1,0,0,0,0
159,"one that i get pretty commonly is ""you look like a who from the jim carrey grinch movie"" they're correct of course but woah",Nooramorph,5h,178,9,0,6531,24,3,0,1,0,0,0,0
160,Jim Carrey hat bei Saturday Night Live. Es war mal ein Witz. Jetzt ist es - wie vieles - Realität.,unblogled,5h,80,1,4,1149,20,0,0,1,0,0,0,0
161,Taylor Swift spotted out to dinner in NYC tonight with Jack Antonoff,TSwiftNZ,16h,50900,389,10500,3900000,12,1,0,1,0,0,0,0
162,Millie Bobby Brown announces her engagement via Instagram with a lyric from Taylor Swift's ‘Lover.,PopBase,6h,78900,993,14100,5900,15,0,0,1,0,0,0,0
163,taylor swift poet of our generation,celestialswiftt,20h,4039,8,835,124000,6,1,0,1,0,0,0,0
164,Taylor Swift was spotted wearing her iconic 'J' necklace despite there being rumors from major news outlets about her and Joe Alwyn breaking up.,InezNot,15h,7858,89,1247,724800,24,1,2,1,0,0,0,0
165,everyone’s reactions to seeing her…princess of the universe taylor swift,dontblameklara,14h,19100,41,1757,452600,10,1,0,1,0,0,0,0
166,"""TAYLOR SWIFT IS A DARKER WOMAN"" OKAY SWIFTIES BYE LMFAOOOOO",Jeonspencer7,2h,813,28,159,16100,10,1,1,1,0,0,0,0
167,She is filming a music video in the middle of her tour and break up. Nobody works harder than taylor swift,NotFancy_,23h,14700,62,1380,467700,21,2,1,1,0,0,0,0
168,"remember, when taylor swift went home and tried to stalk joe alwyn on the internet after meeting him for the first time at the 2016 met gala.",swiifttoursonggg,20h,9586,28,881,318100,27,1,0,1,0,0,0,0
169,Taylor Swift spotted out and about by a fan recently (supposedly in NYC),TSwiftNZ,16h,8963,65,1211,1600000,13,1,0,1,0,0,0,0
170,Taylor Swift going out for dinner in New York.,PopBase,15h,46200,625,5182,6000000,9,1,0,1,0,0,0,0
171,taylor swift a day after her break up news 2016 — 2023,ThrowbackTaylor,16h,28100,108,2603,1300000,12,1,1,1,0,0,0,0
172,one thing about taylor swift is that she will only be seen when she wants to be seen,lottyinthetrees,16h,6682,11,517,139800,18,1,0,1,0,0,0,0
173,I refuse to believe that it took Joe Alwyn almost 7 years to figure out how famous Taylor Swift is,shookswiftie,24h,20200,71,1302,879800,20,2,1,1,0,0,0,0
174,taylor swift out and about in new york city,fordhooIden,16h,8765,6,1165,240600,9,1,0,1,0,0,0,0
175,No one will survive when taylor swift re-records reputation tv,NotFancy_2h,,770,7,125,15100,10,2,0,1,0,0,0,0
176,i love taylor swift so much,soitfuckingoes,20h,24300,17,2884,551700,6,2,0,1,0,0,0,0
177,swifties having a breakdown because millie bobby brown used taylor swift lyrics for her engagement post in the week that’s in it,markruffaloTD,7h,821,3,78,73200,22,1,1,1,0,0,0,0
178,Starbucks and Duolingo receive backlash for using Taylor Swift’s breakup as marketing.,ThePopTingz,1h,1542,83,153,94500,12,0,1,1,0,0,0,0
179,Nick Cannon says he wants to have his 13th child with Taylor Swift,SaycheeseDGTL,4h,2208,240,463,740700,13,1,0,1,0,0,0,0
180,what taylor swift song would you listen to here?,celestialswiftt,29m,301,113,35,10300,9,1,0,1,0,0,0,0
181,Karina in taylor swift’s fearless era,eternallykarina,2h,467,122,166,7251,6,1,0,1,0,0,0,0
182,louis tomlinson but as different taylor swift albums !! made by me <3,91SWEETHOAX,5h,95,2,18,3405,13,1,0,1,0,0,0,0
183,taylor swift: best believe i'm still bejeweled,hemsworthfode,13h,57,9,8,108,7,1,0,1,0,0,0,0
184,omg guys this pic of taylor swift and joe alwyn,wildestlesbian,2h,331,5,40,6986,10,1,0,1,0,0,0,0
185,taylor swift / cardigan,thepopquote,2h,2164,6,526,112200,4,1,0,1,0,0,0,0
186,"firstkhao, akkayan, and sanray pictures as taylor swift lyrics a thread ",aintkhao,24h,108,122,29,2587,11,1,0,1,0,0,0,0
187,Footage of Joe Alwyn begging Taylor Swift for $20 in order to be able to afford food post breakup,cuntlor,9h,71,2,6,2930,19,2,2,1,0,0,0,0
188,My playlist hopping from Rende ni Rong by Wakadinali to Bigger Than The Sky by Taylor Swift ,Trapavelli13,3m,1,0,0,248461,17,1,0,1,0,0,0,0
189,"Long shot but we are selling our 2 Taylor Swift tickets for Friday 4/14 at Raymond James stadium, Tampa FL, both are floor tickets, pls Dm if you want them.",stdsq,2m,0,0,0,248461,30,1,0,1,0,0,0,0
190,Como diría Taylor Swift “me pregunto si esquivé una bala o solo perdí el amor de mi vida,samiii_333,1m,0,0,0,248461,18,1,0,1,0,0,0,0
191,"13th.?!?! bruhhh, im trynna have my 1st kid with Taylor Swift. NC trippin bro.",2xDie4,2m,0,0,0,1,14,0,0,1,0,0,0,0
192,i love Taylor Swift ,asht3R_,2m,0,1,0,3,4,2,0,1,0,0,0,0
193,"iso two taylor swift tickets for atl night 2 (apr. 29th) !! any section, just don’t want to spend more than $350 tota",karmacinema,8m,3,5,0,30,23,1,0,1,0,0,0,0
194,Tô fechadão com a Taylor Swift ,naia_ian,10m,1,0,1,24,6,1,0,1,0,0,0,0
195,"If Morgan Wallen & Taylor Swift makes a song together, i will not be okay ",SelenaZavala__,11m,0,0,0,248461,15,1,0,1,0,0,0,0
196,Lana's biggest hit is a taylor swift album track btw,Lavendertyler23,11m,0,1,0,27,10,1,0,1,0,0,0,0
197,"j’écoute Taylor Swift en marchant sous la pluie, comportement de main character",_thvx_,15m,1,0,0,29,12,1,0,1,0,0,0,0
198,Camden by Gracie Abrams and this is me trying by Taylor Swift are basically sisters.,92camouflage,17m,0,0,0,25,15,1,0,1,0,0,0,0
199,These are the days I understand why Taylor swift fell off the face of the earth for a year,zulemarenterias,19m,0,0,0,17,19,1,1,1,0,0,0,0
200,Melhores músicas de cada álbum da Taylor Swift pra mim – a thread,sixcobaltswift,22m,2,1,2,159,13,1,0,1,0,0,0,0
201,tired: lightning foundation making money off of signed jerseys wired: lightning foundation making money off of taylor swift tickets,morganbolts,22m,5,0,0,158,19,1,0,1,0,0,0,0
202,I GOT TAYLOR SWIFT ERAS TOUR TICKETS FOR SUNDAY I AM GONNA SEE TAYLOR SWIFT IN CONCERT,MsOcampoWriters,24m,2,1,0,48,17,1,0,1,0,0,0,0
203,"Funny how it's wrong to ship real people until Taylor Swift breaks up with her fiance, or Millie gets engaged, or Phoebe and Paul split, or Andrew Garfield and Amelia Dimoldenberg are flirting on the red carpet... etc etc. JUST SAYING.",corrodedcoffinx,24m,16,1,5,459,41,1,3,1,0,0,0,0
204,"Taylor Swift y Avril Lavigne cantando ""Complicated"" es mi amor",Hopi_mind,25m,1,0,0,22,10,1,0,1,0,0,0,0
205,It’s been 14 years I just wanna see taylor swift and coldplay live,alaaa_sm,26m,0,0,0,23,13,1,0,1,0,0,0,0
206,Taking #COVID19 seriously. Pity our politicians aren't.,astaines,13h,49,10,21,2596,7,0,1,0,1,0,0,0
207,"Hi. I'm Zack. I live in Canada and I refuse to accept policies and behaviors that promote mass formation psychosis and totalitarianism from #COVID19. I will continue to wear a mask to protect myself, my family, and you. What about you?",ztisdale,12h,457,24,80,15000,41,1,1,0,1,0,0,0
208,High risk of autoimmune diseases after COVID-19 https://nature.com/articles/s41584-023-00964-y,ejustin46,4h,206,3,108,6393,8,0,1,0,1,0,0,0
209,The Great COVID-19 Vaccine Bribe,66MustangSal,16h,222,14,267,10000,5,1,0,0,1,0,0,0
210,"""New York Times is not alone...The New Yorker, The Washington Post, and NPR, to name just a few, have amplified voices and arguments that helped create a narrative that not only pathologizes those who remain cautious about the disease...""",lauriealle,17h,3224,19,1019,175000,39,1,0,0,1,0,0,0
211,"""Compelling and reliable evidence that #SARSCoV2 infection is linked to a substantially increased risk of developing diverse new-onset AUTOIMMUNE diseases after the acute phase of SARS-CoV-2 infection"" #LongCovid ",HarrySpoolstra,5h,385,16,192,27000,28,1,2,0,1,0,0,0
212,"The birth rate in Sweden has now been at a record low for 14 consecutive months, which correlates with the mass vaccination of the fertile part of the Swedish population against COVID-19. This decline in the birth rate is exceptional, never before seen since 1900 unless preceded…",lakaruppropet1,18h,178,15,67,11000,47,1,1,0,1,0,0,0
213,"We had Ebola in 2014/15, then Covid-19 in 2020/21, and now Obidiots in 2022/23",jeffphiliphs1,19h,851,132,426,65000,14,0,0,0,1,0,0,0
214,"From the makers of the ‘#Plandemic’ and the same people who brought you ‘Monkey Pox’, now they bring ‘Arcturus’, the most deadly Covid 19 strain yet. Give me a break.",SpacePirate144,8h,77,40,26,2145,30,0,2,0,1,0,0,0
215,TDs and Senators are being asked to take an antigen test 24 hours before US President Joe Biden’s joint Oireachtas address as part of strict rules for politicians. But but but I thought Covid was over?,MeetJess,22h,2733,98,895,141000,36,0,1,0,1,0,0,0
216,"Listen to their reasons for getting vaccinated.. Sorry, but it’s all soft cock window dressing excuses. Too many young people folded like a cheap deck of cards. #COVID19 #vaccination",JP__75,5h,43,21,10,1488,29,2,1,0,1,0,0,0
217,"Hi. I'm Jane. I live in #Canada. I know that #CovidIsNotOver and #COVIDisAirborne. I do not accept nor agree w/ policies & behaviours that promote mass infection, disability & death from #COVID19. I continue to wear a mask to protect myself, my family, & you. Will you #MaskUp? ",JANEMCARTHUR11,1h,86,5,18,1172,48,1,1,0,1,0,0,0
218,"Saint Paul, MN - 16 year old hockey player Cormick Scanlan died after suffering multiple strokes on Dec.25, 2022 COVID-19 mRNA vaccines greatly increase the risk of strokes #Diedsuddenly #cdnpoli #ableg https://nypost.com/2022/12/28/teen-athlete-dies-after-suffering-stroke-caused-by-rare-disorder/",MakisMD,25h,1145,61,672,61000,32,1,3,0,1,0,0,0
219,Wait don’t go! someone needs to answer for the excess deaths!,assuie17,3h,116,13,34,2326,11,0,0,0,1,0,0,0
220,"Joanne got vaccinated **To not die from covid-19 Ironically, she died suddenly.",vancemurphy,10h,371,20,159,12000,12,0,2,0,1,0,0,0
221,"Covid-19 | India reports 10,158 new cases in last 24 hours; the active caseload stands at 44,998 (Representative Image)",ANI,9h,312,41,139,75000,19,0,0,0,1,0,0,0
222,"#CovidLong #CovidIsNotOver #COVID19 As a matter of interest, how many people do you know who have been vaccinated, and got covid afterwards?",KateChamberlay2,25h,532,143,352,15000,22,0,0,0,1,0,0,0
223,"Happy 100M to the first Korean song that been played in dubai fountain show, was performed in pyeongchang winter olympics, and the song that been used as the theme song for fighting covid 19 in south korea. SUCH AN ICONIC SONG",erixexo9,8h,740,3,238,15000,41,1,0,0,1,0,0,0
224,"The junior who wanted to come to greet Sana at a music show but was told it was difficult due to COVID-19, and she cried in the waiting room is DreamNote’s Eunjo! “During the last album, Eunjo was really looking forward to it because it overlapped with TWICE sunbaenim comeback.-",TWICE_Indonesia,4h,2082,3,588,59000,50,0,1,0,1,0,0,0
225,One of the greatest mysteries of COVID-19: Where did the flu go in 2020 and 2021?,KonekoaTheGreat,25h,83000,4820,19000,8000000,16,1,0,0,1,0,0,0
226,The BBC said that wearing panties on your face can help protect against cOVID-19 . 🩲🩲👙👙👙,unhealthytruth,7h,82,16,35,7289,16,1,0,0,1,0,0,0
227,"Hi, I am Dr. DaChrisSi Strange. I live in Germany and I refuse policies and behaviors that promote mass infection, disablement and death from #COVID19. I will continue to mask to protect others and myself. What about you?",DaChrissiStr,17h,749,35,103,14000,38,1,2,0,1,0,0,0
228,"Hi, I am Dr. DaChrisSi Strange. I live in Germany and I refuse policies and behaviors that promote mass infection, disablement and death from #COVID19. I will continue to mask to protect others and myself. What about you?",DschlospesIsBack,25h,2406,75,710,229000,38,1,2,0,1,0,0,0
229,"Hi, I'm Adithya. I'm a farmer from Saskatchewan, . I'm in a Canadian Tire hardware store looking for a new battery for my tractor. We come from around the & diff walks of life, but we share a common goal to not get COVID-19 & not pass it on to our families or the community.",AdithyaR_YXE,12h,1059,9,117,19000,55,0,0,0,1,0,0,0
230,"Some COVID-careful people wearing even fit-tested N10,000 respirators in risky places will continue to get infected with the COVID virus because they don't know that highly contagious viruses can infect via any mucous membrane, including unprotected eyes.",DeVerdadera1,13h,54,2,18,10000,37,0,4,0,1,0,0,0
231,"If you are still wearing a mask, you have a lot more to be concerned about than COVID-19. Take it off.",drsimonegold,13h,3557,120,573,57000,21,0,1,0,1,0,0,0
232,"I’m Daryl, I live in British Columbia, Canada and I wear a respirator mask indoors, on public transit, and outdoors when it is crowded. I refuse to accept that COVID-19 infections or reinfections are inevitable. Join me, and together we will rule the galaxy! ",daka_x,17h,425,4,56,9029,44,0,2,0,1,0,0,0
233,"Another paper showing that COVID-19 was a top 10 killer of children, three years in a row. But no, let's keep pushing antivax nonsense... https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2800816",IanCopeland5,25h,3159,432,912,229000,25,1,1,0,1,0,0,0
234,"“As you continue to help guide patients toward COVID-19 vaccination, your practice will receive $50 per Anthem member 6 months of age and older vaccinated by December 31, 2022”. Crimes against humanity! ",Censored4sur,17h,144,12,89,3636,32,0,0,0,1,0,0,0
235,The CDC knew Vitamin D Prevented Mortality and they did nothing.,zombiemommy,18h,63,6,22,1708,11,0,0,0,1,0,0,0
236,"“The lawsuit states staff refused to save Grace as her parents watched her die on FaceTime. ‘Grace did not die from COVID-19 and did not have COVID-19 when she died,’ the lawsuit states. ‘She died because she was given end of life comfort-care while in recovery. This…",tTheChiefNerd,20m,254,18,124,18000,47,1,3,0,1,0,0,0
237,Chester man Raz Ahmed spared jail over £21k Covid-19 grant fraud. Just bloody marvellous.,Harley_Tory,19h,386,57,305,9844,14,0,1,0,1,0,0,0
238,Tennessee is NOT the free state that it used to be. I have many friends there with newborns who are struggling to get pediatric care because they refused to give their BABIES the COVID-19 vaccine. There is absolutely no scientific justification behind that requirement.,XAVIAERD,35m,74,5,10,1341,44,1,2,0,1,0,0,0
239,"Hello, I’m Mouthy/Petty RDH in Canada. I also refuse to be an accomplice in the death and injury of my fellow citizens via #COVID19 (re)infections. I will do everything I can to prevent transmssion and educate people about #LongCovid. #WearAMask #WearAMaskSaveALife",Mouthy_RDH,25h,161,4,27,3091,41,0,3,0,1,0,0,0
240,Covid-19 is still an issue in hospitals and masks should remain - nursing union,IrishTimes,3h,31,25,21,9876,14,0,1,0,1,0,0,0
241,This is now officially retracted: https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-023-08234-8,stephaniemlee,25h,1604,28,486,276000,6,0,0,0,1,0,0,0
242,High risk of autoimmune diseases after COVID-19,MeetJess,1h,121,5,50,2296,7,0,1,0,1,0,0,0
243,"Thanks to House Republicans’ #CommitmentToAmerica, the COVID-19 national emergency has officially ENDED.",HouseGOP,25h,279,178,81,24000,12,0,1,0,1,0,0,0
244,This is frightening. New study shows that 1 in every 246 people has died within 60 days of Covid-19 vaccination in England.,DiedSuddenly_,22h,2586,115,1241,115000,22,0,1,0,1,0,0,0
245,"Jan Malcolm, Minnesota's former health commissioner, next week will give one of her first public addresses since stepping down, with an emphasis on the importance of post-pandemic lessons.",StarTribune,11h,15,32,4,10000,28,0,0,0,1,0,0,0
246,"CardioVascular #LongCovid Echocardiographic manifestations during the first 3 m after an episode of #COVID19 and their relationship with disease severity and persistence of symptoms: ""Ventricular dysfunction in more than 70% of subjects during the first 3m after a COVID-19…",HarrySpoolstra,5h,91,1,40,6589,39,0,1,0,1,0,0,0
247,A dictatorship of unelected academics is still running what remains of the Government’s Covid-19 policy. They can work from their laptop at home and they don’t care what costs they’re imposing on workers and small businesses with the advice they’re giving to the Government.,dbseymour,25h,699,398,132,87000,44,1,1,0,1,0,0,0
248,"Hi. I'm Lucille. I live in Canada and I refuse to accept policies and behaviors that promote mass formation psychosis and totalitarianism from #COVID19. I will continue to wear a mask to protect myself, my family, and you. What about you?",LucielleStuckle1,12h,103,17,11,2399,41,1,1,0,1,0,0,0
249,Share this far and wide This silence was held for the fallen healthcare workers at a demo early in the Covid pandemic. At that point the figure was 640 lost So explain how can health trusts be claiming little to no workers died from exposure to Covid 19 in the line of duty?…,NHSActivisitRN,25h,1330,44,925,92000,53,0,3,0,1,0,0,0
250,Jim Chalmers says two-thirds of the debt in the budget was borrowed before the start of the pandemic. Is he correct? - ABC News,Lionheart21112,25H,1468,49,800,51000,24,0,1,0,1,0,0,0
251,"What are the financial penalties for underperforming ministers, who was so incompetent he brought down a government, leaked confidential cabinet information, didn’t know what the 19 stood for in Covid-19? Take your Tory policies & leave the nurses alone.",Brenbyrn2,19h,162,14,54,5327,39,0,1,0,1,0,0,0
252,"Mark it down for the history books — National Emergency on COVID-19: March 13, 2020-April 10, 2023",NiallStanage,25h,1052,206,1428,2000000,17,0,1,0,1,0,0,0
253,BREAKING: Bayern Munich forward Sadio Mane punched teammate Leroy Sane in the face after yesterday’s Champions League defeat at Manchester City.,SkySportsNews,25h,35000,2495,9584,12000000,21,2,0,0,0,0,0,1
254,Manchester City are putting up FIFA numbers ,goal,25h,23000,67,1038,511000,7,0,0,0,0,0,0,1
255,"A complete performance from Rodrigo. Effort: Ran 12.92km. More than any other player on the pitch. Tenacity: Recovered possession 17 times, the most by a Manchester City player in a single UCL match. Execution: Scored his CL debut goal, in typical Rodri fashion. The BEST…",SheikhMCI,6h,3869,25,216,134000,45,0,0,0,0,0,0,1
256,"Bayern confirm Sadio Mané will not be in the squad for Saturday's game against Hoffenheim. Statement from Bayern: ""The reason is Mané's misconduct after FC Bayern's Champions League match at Manchester City.""",433,4h,9084,109,432,584000,32,0,0,0,0,0,0,1
257,"Pep Guardiola's Manchester City side make history They're unbeaten in their last 25 home Champions League matches at the Etihad (23 wins, 2 draws). The longest unbeaten home run by a Premier League club in the UCL ever.",ESPNFC,25h,21000,319,2915,921000,38,2,0,0,0,0,0,1
258,Arsenal & Manchester City’s form over the last six games… I’m hearing City have gone up a gear recently? Interesting. Eight to go… #afc,now_arsenaI,7h,2705,20,317,114000,24,0,0,0,0,0,0,1
259,Most clean sheets in Europe’s top five leagues this season: Barcelona - 24 𝙈𝙖𝙣𝙘𝙝𝙚𝙨𝙩𝙚𝙧 𝙐𝙣𝙞𝙩𝙚𝙙 - 23 Juventus - 21 Manchester City - 21 Lazio - 21,footballdaily,7h,3102,46,378,356000,27,2,0,0,0,0,0,1
260,Jamal Musiala vs Manchester City- Best youngster in the world? ,MagicalXavi,7h,2636,182,543,377000,10,1,0,0,0,0,0,1
261,Erling Haaland had lost to Bayern Munich all seven times he faced them before today. He had a goal and an assist in Manchester City's win ,brfootball,24h,33000,123,2389,1000000,26,1,1,0,0,0,0,1
262,"I love Manchester City Football Club but we can all agree, despite beating Bayern 3-0, we are still capable of bottling it",PalmerSZNN,24h,1758,58,55,58000,22,2,0,0,0,0,0,1
263,"Fun Fact : If Cristiano Ronaldo never won 4 UCLs with Real Madrid, he would still have more UCLs than Aguero and Manchester City.",TeamCRoanaldo,24h,13000,92,920,355000,24,2,0,0,0,0,0,1
264,Good morning! ,ManCity,24h,28000,261,1586,490000,2,1,0,0,0,0,0,1
265,Bayern fans are selling their tickets for the 2nd leg vs. Manchester City on the club’s website after the 3-0 defeat.,MunichFanpage,24h,1019,150,301,527000,21,1,0,0,0,0,0,1
266,FULL-TIME | A special #UCL night in Manchester 3-0 #ManCity,ManCity,25h,36000,965,9536,2000000,10,0,0,0,0,0,0,1
267,#ChampionsLeague #MCIFCB May this Smile give Manchester City Win Today,Real_Nafu,25h,8447,239,312,180000,10,2,0,0,0,0,0,1
268,Joao Cancelo is on the bench for Bayern Munich against Manchester City ,goal,25h,23000,87,765,636000,12,0,0,0,0,0,0,1
269,Upamecano vs Manchester City Away | Best defensive skills | Better than Maldini ?,DeIambda,25h,1679,19,503,122000,14,2,1,0,0,0,0,1
270,Pep's full of praise for our defence 3-0 #ManCity,ManCity,24h,10000,71,805,367000,9,1,0,0,0,0,0,1
271,So if Chelsea miraculously beat Real Madrid we have to play Manchester City…,_owurakuampofo,25h,3846,80,246,173000,13,1,0,0,0,0,0,1
272,Arsenal & Manchester City’s form over the last six games… I’m hearing City have gone up a gear recently? Interesting.,arsenalchaptera,6h,15000,171,1172,340000,20,0,0,0,0,0,0,1
273,MANCHESTER CITY FOOTBALL CLUB,mcfc_lads,25h,5752,6,339,83000,4,0,0,0,0,0,0,1
274,"Manchester City have now won 9 games in a row, with an aggregate score of 41-3 Unbeaten in 13 games in all comps Unbeaten in 25 successive #UCL home games [23 Wins & 2 Draws] ",mcfc_lads,24h,2197,14,176,52000,35,2,0,0,0,0,0,1
275,"If Manchester City wins the Champions League, I'm not against Haaland winning the Ballon D'or before the Prince of Paris",j_simire,24h,274,10,23,19000,20,2,0,0,0,0,0,1
276,"G.Agbonlahor exposes Arsenal’s weakness in title race against Man City. Gabriel Agbonlahor has identified Rob Holding as Arsenal’s weak link in their Premier League title race with Manchester City. He said that, if you compare Arsenals defence(to city), now that Saliba is out, Holding doesn’t have the quality to get them “over the line”(Daily post Via HITC)",arsreports,20h,224,22,15,19000,57,1,2,0,0,0,0,1
277,"Hi I’m new to football twitter, I support Haaland/Manchester City, please like/rt/reply to help me find new mutuals",haaalandsmnace,24h,140,51,22,10000,18,1,0,0,0,0,0,1
278,He was everywhere last night! One word to sum up Rodrigo's performance? ,ManCity,24h,12000,193,718,397000,12,0,0,0,0,0,0,1
279,"During Manchester City - Bayern Munich many (myself included) were surprised by Guardiola's decision to change the defensive set-up OOP: Stones RCB with Akanji RB, the opposite of what we've seen in recent weeks. The reason? City's structure in the first pressing phase.",MarcoLoi_23,9h,462,7,59,85000,43,0,2,0,0,0,0,1
280,Chelsea had Ake and let go of him. He's now Manchester City's best defender.,WelBeast,25h,4506,104,212,250000,14,1,0,0,0,0,0,1
281,No Manchester city account should have less than 500 followers Drop a 🩵 and follow whoever likes it make sure to follow me and follow everyone back Let's go #ManCity I hate seeing Manchester city fans with low followers,JBellingham22,10h,139,58,8,3493,39,2,1,0,0,0,0,1
282,No Context Sane and Mane after Manchester City defeat ,tacklefromb,24h,718,6,31,15000,9,2,0,0,0,0,0,1
283,The mighty Arsenal the last time they tried to stop Manchester City.,magicalsilva21,24h,119,2,9,3900,12,1,0,0,0,0,0,1
284,Bayern Munich have suspended Sadio Mane after he punched Leroy Sane in the face after Tuesday's #UCL loss at Manchester City. Mane will be fined and excluded from the Bayern squad for their home Bundesliga match with Hoffenheim on Saturday.,JacobsBen,5h,1016,12,93,109000,40,1,1,0,0,0,0,1
285,Recovery mode ,ManCity,23h,10000,86,579,276000,2,1,0,0,0,0,0,1
